rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
baseline,5.29957543481165,3.0583853089657,1.09825323481044,5.85831608860887,7.58121632478997,-0.186604115127455,2.12550607220552,2.19134120360945,3.54988114517095,-5.48644133640007,-7.50269675996678,0.947453339537885,0.909385218603446,8.6672437385428,3.45608526049136,-2.35309797886283,7.6331303304141,10.9489704775854,3.14762508655494,-5.29957543481166,7.4643604917538,3.47637710046718,-4.97915869785884,8.47319480060853
baseline,1.60889188897087,6.01038625023324,3.31219154851724,8.099788468324,0.710773385155219,-0.00792997476011813,1.43972928472861,8.9934651446511,1.97088638933088,1.11746305044209,6.65647491982845,4.88213724755049,-1.84760290419673,-3.09890633468293,4.02670014408551,-6.08142068217993,2.28201649384596,-0.315672003441321,1.05304936065622,9.164351607366,2.65875197417129,2.68192494953822,4.96405167194088,2.24666401174053
baseline,6.26352367239077,-3.58759665940453,10.462021662186,-0.128014090956899,4.02204311922664,-1.25659860875617,-2.32492017048079,-2.76644187963402,9.11390416977997,11.0825521556119,-0.948003603445497,12.653252159675,6.86725145196929,-1.05178807973487,4.81613270070665,2.77397896672788,5.26580983640114,-1.7929112748885,-3.65559782217272,-10.0844849800178,6.94236103130036,66.4691831547804,3.95398637258694,4.39307549564216
baseline,-2.36468172958711,6.78583690759383,1.66744309692336,-8.36773731885457,6.71139849824556,-2.60498113463236,2.48801380735932,4.85138699742753,-1.29172064050983,-1.58571861948882,-7.36924962290781,-3.77836261231627,0.776356620872398,2.86959579007969,-1.24317644368092,9.13915315851285,7.56123979193248,0.410341258886795,-8.8643387001438,-0.823118811982819,5.21445675972482,7.61288266060729,1.91849901591767,0.465114043407131
baseline,1.94477559809934,6.34019174590992,7.96507623821718,-0.173669072479899,1.65868936681531,-3.10435959893565,10.9227858614851,4.83691832464106,-3.71922866182367,0.967912593274416,1.33702707072523,4.17300191884176,-5.82349285844425,1.2379142641693,-1.18828221543632,3.43021003745151,6.69700927613968,-2.50785304270318,7.14768499792277,-0.535444195310137,2.60242053089013,-3.86800858747226,-4.18891306659702,0.501336322092371
baseline,3.87357099631957,-1.07581068512738,-0.0315375242453963,3.51643394964686,-0.173669072479899,1.51670932597006,-2.81629121637575,6.08486421853356,9.38588710515435,-4.71718856471757,-7.51130349523307,-6.02992931818389,2.16805161029503,7.36128958240731,-2.76724686150693,4.33845436944255,6.81840268138287,-3.75653374310567,3.93878545331766,3.55695909338091,5.99728882588042,2.60498113463235,5.69735246942333,9.56446884828238
rotation,3.17210909490329,-4.11295718578386,15.9822228176021,-4.28532323219745,7.6752460689428,1.02929623745408,7.24592906204108,4.89519046664666,-3.23924456569791,-6.21795902553245,-4.98112019836816,0.335581617779364,2.71206544703468,-1.37934309039233,7.47009829133006,-0.190850870552717,5.38740041398495,7.95030212312107,8.55985963767112,-1.7865895607279,7.17297255742134,-32.9202879463758,1.14414998498273,-33.6546681486886
rotation,2.43973489548312,13.6794119105733,-2.1433041068471,-2.2762796425165,0.497677473511134,16.1704313185095,-4.36611533912248,18.9140929128569,3.52127053413997,-3.21326239781879,1.62493024085166,-0.472367146222418,3.72681029049584,3.55739950102702,63.8769434428834,-2.32595493412089,-2.34239012601825,5.78891887464532,-10.3617363842372,3.56236078475446,1.07581068512737,-30.6410792745651,-54.9561291976326,-47.2374817778891
rotation,0.309368268973362,-4.49710632440518,4.64938441578259,-1.98788516084486,5.59487478910438,-3.34546674789098,4.36622410417053,-1.90541104099612,-1.39304756562955,1.41849767362971,33.4792717174462,21.7885544538942,-0.181062529996466,0.509728874286673,-6.10253020286675,17.7055024079437,7.25300425785995,-1.17613571395415,-7.4643604917538,-1.09037170996187,2.79580203548357,-29.1113495476524,-33.2327479482156,-65.7404758462306
rotation,-0.588075691351792,0.656279668194352,-1.66403852801815,-47.3814415577119,-31.4954635603781,-1.08266316904884,0.830083883957396,-27.7470779869975,6.91083931988496,-10.3152129116745,-1.94209214325216,-38.229299187795,4.76663242182222,-4.04600016350281,-8.47319480060854,-24.9047941106658,55.4951245023925,0.201508240426304,-18.7390349468748,-5.3160852853157,-0.453434887125365,-22.1253290131746,-30.9083477067745,-41.3359815699821
rotation,-41.4309828644223,-74.5187683734414,-2.98686227123048,-2.6764448527677,-31.9248485197146,-18.4436802735574,-32.0560410998447,-8.55537723496224,4.02670014408551,-1.36075732772233,-77.5255575495896,-52.9110802788439,-7.53392679867749,49.6496148031973,-50.4943606412868,-45.6315024107708,-5.99586710478552,-5.05707203000492,-20.5741117765527,-0.188769303280775,27.2839535199823,-21.9471841808408,-61.7976664576025,-78.1907082241992
